Model,Method,Replicate,RF,FN,FP
1000M4,NJ (p-distance),R14,377.0,0.18172484599589322,0.20060180541624875
1000M4,FastME (BME),R14,267.0,0.12525667351129363,0.14543630892678033
1000M4,FastME (BME),R14,267.0,0.12525667351129363,0.14543630892678033
1000M4,FastTree (GTR),R13,119.0,0.04648760330578512,0.07422266800401203
1000M4,FastTree (GTR),R13,119.0,0.04648760330578512,0.07422266800401203
1000M4,FastTree (JC),R13,125.0,0.049586776859504134,0.07723169508525576
1000M4,FastTree (JC),R13,125.0,0.049586776859504134,0.07723169508525576
1000M4,NJ (JC),R13,275.0,0.12706611570247933,0.15245737211634905
1000M4,NJ (JC),R13,275.0,0.12706611570247933,0.15245737211634905
1000M4,NJ (LogDet),R13,293.0,0.13636363636363635,0.16148445336008024
1000M4,NJ (LogDet),R13,293.0,0.13636363636363635,0.16148445336008024
1000M4,NJ (p-distance),R13,359.0,0.17045454545454544,0.1945837512537613
1000M4,NJ (p-distance),R13,359.0,0.17045454545454544,0.1945837512537613
1000M4,FastME (BME),R13,229.0,0.10330578512396695,0.12938816449348045
1000M4,FastME (BME),R13,229.0,0.10330578512396695,0.12938816449348045
1000M4,FastTree (GTR),R12,114.0,0.051829268292682924,0.06325301204819277
1000M4,FastTree (GTR),R12,114.0,0.051829268292682924,0.06325301204819277
1000M4,FastTree (JC),R12,130.0,0.059959349593495935,0.071285140562249
1000M4,FastTree (JC),R12,130.0,0.059959349593495935,0.071285140562249
1000M4,NJ (JC),R12,319.0,0.15548780487804878,0.16649949849548645
1000M4,NJ (JC),R12,319.0,0.15548780487804878,0.16649949849548645
1000M4,NJ (LogDet),R12,335.0,0.16361788617886178,0.17452357071213642
1000M4,NJ (LogDet),R12,335.0,0.16361788617886178,0.17452357071213642
1000M4,NJ (p-distance),R12,383.0,0.18800813008130082,0.19859578736208625
1000M4,NJ (p-distance),R12,383.0,0.18800813008130082,0.19859578736208625
1000M4,FastME (BME),R12,279.0,0.13516260162601626,0.1464393179538616
1000M4,FastME (BME),R12,279.0,0.13516260162601626,0.1464393179538616
1000M4,FastTree (GTR),R15,135.0,0.051094890510948905,0.08634538152610442
1000M4,FastTree (GTR),R15,135.0,0.051094890510948905,0.08634538152610442
1000M4,FastTree (JC),R15,155.0,0.061522419186652764,0.0963855421686747
1000M4,FastTree (JC),R15,155.0,0.061522419186652764,0.0963855421686747
1000M4,NJ (JC),R15,292.0,0.132429614181439,0.16549648946840523
1000M4,NJ (JC),R15,292.0,0.132429614181439,0.16549648946840523
1000M4,NJ (LogDet),R15,300.0,0.13660062565172054,0.16950852557673018
1000M4,NJ (LogDet),R15,300.0,0.13660062565172054,0.16950852557673018
1000M4,NJ (p-distance),R15,334.0,0.1543274244004171,0.18655967903711135
1000M4,NJ (p-distance),R15,334.0,0.1543274244004171,0.18655967903711135
1000M4,FastME (BME),R15,250.0,0.1105318039624609,0.1444332998996991
1000M4,FastME (BME),R15,250.0,0.1105318039624609,0.1444332998996991
1000M4,FastTree (GTR),R7,144.0,0.06345957011258956,0.08224674022066199
1000M4,FastTree (GTR),R7,144.0,0.06345957011258956,0.08224674022066199
1000M4,FastTree (JC),R7,166.0,0.07471852610030706,0.09327983951855567
1000M4,FastTree (JC),R7,166.0,0.07471852610030706,0.09327983951855567
1000M4,NJ (JC),R7,306.0,0.14636642784032752,0.16349047141424272
1000M4,NJ (JC),R7,306.0,0.14636642784032752,0.16349047141424272
1000M4,NJ (LogDet),R7,306.0,0.14636642784032752,0.16349047141424272
1000M4,NJ (LogDet),R7,306.0,0.14636642784032752,0.16349047141424272
1000M4,NJ (p-distance),R7,372.0,0.18014329580348004,0.19658976930792377
1000M4,NJ (p-distance),R7,372.0,0.18014329580348004,0.19658976930792377
1000M4,FastME (BME),R7,248.0,0.11668372569089049,0.13440320962888666
1000M4,FastME (BME),R7,248.0,0.11668372569089049,0.13440320962888666
1000M4,FastTree (GTR),R0,143.0,0.05979381443298969,0.08525576730190572
1000M4,FastTree (GTR),R0,143.0,0.05979381443298969,0.08525576730190572
1000M4,FastTree (JC),R0,157.0,0.06701030927835051,0.09227683049147442
1000M4,FastTree (JC),R0,157.0,0.06701030927835051,0.09227683049147442
1000M4,NJ (JC),R0,303.0,0.1422680412371134,0.16549648946840523
1000M4,NJ (JC),R0,303.0,0.1422680412371134,0.16549648946840523
1000M4,NJ (LogDet),R0,335.0,0.15876288659793814,0.1815446339017051
1000M4,NJ (LogDet),R0,335.0,0.15876288659793814,0.1815446339017051
1000M4,NJ (p-distance),R0,379.0,0.18144329896907216,0.20361083249749248
1000M4,NJ (p-distance),R0,379.0,0.18144329896907216,0.20361083249749248
1000M4,FastME (BME),R0,263.0,0.12164948453608247,0.14543630892678033
1000M4,FastME (BME),R0,263.0,0.12164948453608247,0.14543630892678033
1000M4,FastTree (GTR),R9,114.0,0.04437564499484004,0.0712136409227683
1000M4,FastTree (GTR),R9,114.0,0.04437564499484004,0.0712136409227683
1000M4,FastTree (JC),R9,120.0,0.047471620227038186,0.07422266800401203
1000M4,FastTree (JC),R9,120.0,0.047471620227038186,0.07422266800401203
1000M4,NJ (JC),R9,270.0,0.12487100103199174,0.14944834503510532
1000M4,NJ (JC),R9,270.0,0.12487100103199174,0.14944834503510532
1000M4,NJ (LogDet),R9,292.0,0.13622291021671826,0.160481444332999
1000M4,NJ (LogDet),R9,292.0,0.13622291021671826,0.160481444332999
1000M4,NJ (p-distance),R9,346.0,0.16408668730650156,0.18756268806419257
1000M4,NJ (p-distance),R9,346.0,0.16408668730650156,0.18756268806419257
1000M4,FastME (BME),R9,246.0,0.11248710010319918,0.1374122367101304
1000M4,FastME (BME),R9,246.0,0.11248710010319918,0.1374122367101304
1000M4,FastTree (GTR),R8,109.0,0.04786150712830957,0.062186559679037114
1000M4,FastTree (GTR),R8,109.0,0.04786150712830957,0.062186559679037114
1000M4,FastTree (JC),R8,117.0,0.051934826883910386,0.06619859578736209
1000M4,FastTree (JC),R8,117.0,0.051934826883910386,0.06619859578736209
1000M4,NJ (JC),R8,275.0,0.13238289205702647,0.14543630892678033
1000M4,NJ (JC),R8,275.0,0.13238289205702647,0.14543630892678033
1000M4,NJ (LogDet),R8,293.0,0.1415478615071283,0.15446339017051153
1000M4,NJ (LogDet),R8,293.0,0.1415478615071283,0.15446339017051153
1000M4,NJ (p-distance),R8,327.0,0.15885947046843177,0.1715145436308927
1000M4,NJ (p-distance),R8,327.0,0.15885947046843177,0.1715145436308927
1000M4,FastME (BME),R8,227.0,0.1079429735234216,0.1213640922768305
1000M4,FastME (BME),R8,227.0,0.1079429735234216,0.1213640922768305
1000M4,FastTree (GTR),R1,95.0,0.03790983606557377,0.058174523570712136
1000M4,FastTree (GTR),R1,95.0,0.03790983606557377,0.058174523570712136
1000M4,FastTree (JC),R1,109.0,0.045081967213114756,0.06519558676028084
1000M4,FastTree (JC),R1,109.0,0.045081967213114756,0.06519558676028084
1000M4,NJ (JC),R1,261.0,0.12295081967213115,0.14142427281845538
1000M4,NJ (JC),R1,261.0,0.12295081967213115,0.14142427281845538
1000M4,NJ (LogDet),R1,289.0,0.13729508196721313,0.15546639919759278
1000M4,NJ (LogDet),R1,289.0,0.13729508196721313,0.15546639919759278
1000M4,NJ (p-distance),R1,339.0,0.16290983606557377,0.18054162487462388
1000M4,NJ (p-distance),R1,339.0,0.16290983606557377,0.18054162487462388
1000M4,FastME (BME),R1,217.0,0.10040983606557377,0.119358074222668
1000M4,FastME (BME),R1,217.0,0.10040983606557377,0.119358074222668
1000M4,FastTree (GTR),R6,134.0,0.059244126659857,0.07622868605817452
1000M4,FastTree (GTR),R6,134.0,0.059244126659857,0.07622868605817452
1000M4,FastTree (JC),R6,132.0,0.05822267620020429,0.07522567703109329
1000M4,FastTree (JC),R6,132.0,0.05822267620020429,0.07522567703109329
1000M4,NJ (JC),R6,334.0,0.16138917262512767,0.1765295887662989
1000M4,NJ (JC),R6,334.0,0.16138917262512767,0.1765295887662989
1000M4,NJ (LogDet),R6,352.0,0.17058222676200205,0.1855566700100301
1000M4,NJ (LogDet),R6,352.0,0.17058222676200205,0.1855566700100301
